Disp_Type,Purpose,Activity,Notes
CEP,Coal Exploration,Default,Energy Development Planning Tool use only
LOC,Access,Class I - All Weather,
LOC,Access,Class II - All Weather or Dry,
LOC,Access,Class III - All Weather or Dry,
LOC,Access,Class IV - Frozen / Dry Conditions,
LOC,Access,Class V - Frozen,
LOC,Access,Class VI - Frozen,
LOC,Access,Major Corridor,
LOC,Access,Railway Spurline,
LOC,Bed and Shore,Anchor (Waterbody),
LOC,Bed and Shore,Boat Launch,
LOC,Bed and Shore,Bridge,
LOC,Bed and Shore,Culvert Crossing,
LOC,Bed and Shore,Dredging / Trenching,
LOC,Bed and Shore,Dyke / Flood Prevention Berm,
LOC,Bed and Shore,Water Control Structure,
LOC,Erosion Protection,Upland Erosion Protection,
LOC,Pipeline,Fresh Water,
LOC,Pipeline,Multiple Pipeline ROW,
LOC,Pipeline,Produced Water,
LOC,Pipeline,Waste Water,
LOC,"Research, Monitoring and Education",Water Observation / Monitoring - Industrial Use,
LOC,Water Diversion,Cooling and / or Settling Pond,
LOC,Water Diversion,Drainage or Irrigation Ditch,
LOC,Water Diversion,Outfall,
LOC,Water Diversion,Storm Water Management Pond,
LOC,Water Diversion,Water Intake / Supply Line,
LOC,Water Diversion,Water Reservoir,
GEO,Geophysical Exploration,Default,Energy Development Planning Tool use only
MSL,Drilling Waste Disposal,Remote Sump,
MSL,Mine,Coal,
MSL,Mine,Oilsands,
MSL,PNG or OS Facility,Central Processing Facility,
MSL,PNG or OS Facility,Compressor Site,
MSL,PNG or OS Facility,Custom Treating Facility,
MSL,PNG or OS Facility,Gas Processing Plant,
MSL,PNG or OS Facility,Gas Processing Plant - Sulphur Recovery,
MSL,PNG or OS Facility,Oil/Bitumen Battery Site,
MSL,PNG or OS Facility,Satellite Site,
MSL,Wellsite,Disposal,
MSL,Wellsite,Experimental,
MSL,Wellsite,Injection,
MSL,Wellsite,Observation,
MSL,Wellsite,OS - Cold Production,
MSL,Wellsite,OS - Enhanced Recovery,
MSL,Wellsite,OS - Observation,
MSL,Wellsite,PNG Production (MW),
MSL,Wellsite,PNG Production (SW),
MSL,Wellsite,Storage Well,
MLL,PNG or OS Facility,Central Processing Facility,
MLL,PNG or OS Facility,Compressor Site,
MLL,PNG or OS Facility,Custom Treating Facility,
MLL,PNG or OS Facility,Gas Processing Plant,
MLL,PNG or OS Facility,Gas Processing Plant - Sulphur Recovery,
MLL,PNG or OS Facility,Satellite Site,
MLL,PNG or OS Facility,Transport Facility,
MLL,"Research, Monitoring and Education",Environmental Monitoring Site,
MLL,"Research, Monitoring and Education",Heave Monuments,
MLL,"Research, Monitoring and Education",Piezometer,
MLL,"Research, Monitoring and Education",Water Observation / Monitoring,
MLL,"Research, Monitoring and Education",Water Observation / Monitoring - Industrial Use,
MLL,Storage,Industrial,
MLL,Storage,Stockpile,
MLL,Waste Management,Oilfield Waste Landfill,
MLL,Waste Management,Oilfield Waste Management Facility,
MLL,Water Well,Observation,
MLL,Water Well,Production,
OSE,Oilsands Exploration,Default,Energy Development Planning Tool use only
PLA,Pipeline,Above Ground,
PLA,Pipeline,Cathodic Protection / Anode Bed,
PLA,Pipeline,Multiple Pipeline ROW,
PLA,Pipeline,PNG / OS Pipeline,
PLA,Pipeline,PNG / OS Pipeline EPEA,
PIL,Pipeline Installation,Cathodic Protection / Anode Bed,
PIL,Pipeline Installation,Compressor Station (Sales Line),
PIL,Pipeline Installation,Header or Riser Site,
PIL,Pipeline Installation,Heater Site,
PIL,Pipeline Installation,Meter Station Site,
PIL,Pipeline Installation,Oil Loading / Unloading Terminal,
PIL,Pipeline Installation,Pumping Station,
PIL,Pipeline Installation,Separator Site,
PIL,Pipeline Installation,Tank Farm,
PIL,Pipeline Installation,Valve Site,
RME,Surface Materials,Exploration - Borrow,
RML,Surface Materials,Non Manufacturing Clay,
RML,Surface Materials,Sand,
RML,Surface Materials,Silt,
RSC,Surface Materials,Non Manufacturing Clay,
RSC,Surface Materials,Sand,
RSC,Surface Materials,Silt,
RTF,Access - Temporary,Industrial,
RTF,Access - Temporary,Wood Fibre Road,
RTF,Bed and Shore,Dredging / Trenching,
RTF,Bed and Shore,Dyke / Flood Prevention Berm,
RTF,Bed and Shore,Flood Recovery,
RTF,Bed and Shore,Flood Recovery (Temp Use),
RTF,Berm,Access Berm,
RTF,Berm,Containment Berm,
RTF,Drilling Waste Disposal,Disposal on Forested Public Land,
RTF,Drilling Waste Disposal,Land Spraying / Spreading,
RTF,Drilling Waste Disposal,Land Treatment,
RTF,Drilling Waste Disposal,Pump-Off DWD,
RTF,Drilling Waste Disposal,Remote Sump,
RTF,Erosion Protection,Upland Erosion Protection,
RTF,Fire Hazard Management,Fireguard,
RTF,Incidental Activity,Additional Area - Linear,
RTF,Incidental Activity,Additional Area - Non-Linear,
RTF,Incidental Activity,Additional Area - Wellbore,
RTF,Incidental Activity,Bank Stabilization,
RTF,Incidental Activity,Borrow Pits,
RTF,Incidental Activity,Flare Stack,
RTF,Incidental Activity,Log Deck,
RTF,Incidental Activity,Multiple Pipe Installation,
RTF,Incidental Activity,Pump-Off Sewage Disposal,
RTF,Incidental Activity,Pump-Off Water Disposal,
RTF,Incidental Activity,Push Outs,
RTF,Incidental Activity,Reclamation Material Removal,
RTF,Incidental Activity,Temporary Work Space,
RTF,Oilsands Exploration,Default,
RTF,Other Industrial,Default,
RTF,Pipeline,Fresh Water,
RTF,Pipeline,Produced Water,
RTF,Pipeline,Waste Water,
RTF,"Research, Monitoring and Education",Environmental Monitoring Site,
RTF,"Research, Monitoring and Education",Heave Monuments,
RTF,"Research, Monitoring and Education",Piezometer,
RTF,"Research, Monitoring and Education",Water Observation / Monitoring,
RTF,"Research, Monitoring and Education",Water Observation / Monitoring - Industrial Use,
RTF,Storage,Industrial,
RTF,Storage,Stockpile,
RTF,Vegetation Control,Default,
RTF,Work Camp,Industrial,
RVC,Fire Hazard Management,Fireguard,
RVC,Vegetation Control,Default,
